equipo,partidos_jugados,partidos_ganados,partidos_empatados,partidos_perdidos,goles_favor,goles_contra,puntos
Manchester City,38,28,5,5,94,33,89
Arsenal,38,26,6,6,88,43,84
Liverpool,38,24,10,4,86,41,82
Aston Villa,38,20,8,10,76,61,68
Tottenham,38,20,6,12,74,61,66
Chelsea,38,18,9,11,77,63,63
Newcastle,38,18,6,14,85,62,60
Manchester United,38,18,6,14,57,58,60
West Ham,38,14,10,14,60,74,52
Crystal Palace,38,13,10,15,57,58,49
Brighton,38,12,12,14,55,62,48
Bournemouth,38,13,9,16,54,67,48
Fulham,38,13,8,17,55,61,47
Wolves,38,13,7,18,50,65,46
Everton,38,13,9,16,40,51,48
Brentford,38,10,9,19,56,65,39
Nottingham Forest,38,9,9,20,49,67,36
Luton Town,38,6,8,24,52,85,26
Burnley,38,5,9,24,41,78,24
Sheffield United,38,3,7,28,35,104,16
